Kernel_Name,Count,Sum(ns),Mean(ns),Median(ns),Pct
"void rocprim::ROCPRIM_400001_NS::detail::partition_kernel<(rocprim::ROCPRIM_400001_NS::detail::select_method)0, true, rocprim::ROCPRIM_400001_NS::detail::wrapped_partition_config<rocprim::ROCPRIM_400001_NS::default_config, (rocprim::ROCPRIM_400001_NS::detail::partition_subalgo)5, long, rocprim::ROCPRIM_400001_NS::empty_type>, hipcub::HIPCUB_400000_NS::CountingInputIterator<long, long>, rocprim::ROCPRIM_400001_NS::empty_type*, hipcub::HIPCUB_400000_NS::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, rocprim::ROCPRIM_400001_NS::tuple<long*, rocprim::ROCPRIM_400001_NS::empty_type>, rocprim::ROCPRIM_400001_NS::tuple<rocprim::ROCPRIM_400001_NS::empty_type*, rocprim::ROCPRIM_400001_NS::empty_type*>, rocprim::ROCPRIM_400001_NS::empty_type, rocprim::ROCPRIM_400001_NS::detail::lookback_scan_state<unsigned int, false, true>, rocprim::ROCPRIM_400001_NS::detail::block_id_wrapper<unsigned int, false>, rocprim::ROCPRIM_400001_NS::empty_type>(hipcub::HIPCUB_400000_NS::CountingInputIterator<long, long>, rocprim::ROCPRIM_400001_NS::empty_type*, hipcub::HIPCUB_400000_NS::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, rocprim::ROCPRIM_400001_NS::tuple<long*, rocprim::ROCPRIM_400001_NS::empty_type>, rocprim::ROCPRIM_400001_NS::tuple<rocprim::ROCPRIM_400001_NS::empty_type*, rocprim::ROCPRIM_400001_NS::empty_type*>, unsigned long*, unsigned long*, unsigned long, unsigned long, rocprim::ROCPRIM_400001_NS::empty_type, rocprim::ROCPRIM_400001_NS::detail::lookback_scan_state<unsigned int, false, true>, unsigned int, rocprim::ROCPRIM_400001_NS::detail::vsmem_t, rocprim::ROCPRIM_400001_NS::detail::block_id_wrapper<unsigned int, false>, rocprim::ROCPRIM_400001_NS::empty_type)",1,4249.75,4249.75,4249.75,0.038751401729871196
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<double, at::native::func_wrapper_t<double, at::native::MinNanFunctor<double> >, unsigned int, double, 4, 4> >(at::native::ReduceOp<double, at::native::func_wrapper_t<double, at::native::MinNanFunctor<double> >, unsigned int, double, 4, 4>)",1,4143.0,4143.0,4143.0,0.03777800043928616
__amd_rocclr_fillBufferAligned,2,3490.9140625,1745.45703125,1745.45703125,0.031831946171043984
"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1} const&)::{lambda(int, bool)#1})",1,3180.333984375,3180.333984375,3180.333984375,0.028999917610136483
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",1,2976.833984375,2976.833984375,2976.833984375,0.027144300161573914
"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool> >, std::array<char*, 3ul>)",1,2749.58203125,2749.58203125,2749.58203125,0.02507210021347232
"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul>)",1,2686.08203125,2686.08203125,2686.08203125,0.024493074621414715
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<double, double, double, at::native::binary_internal::DivFunctor<double> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<double, double, double, at::native::binary_internal::DivFunctor<double> >, std::array<char*, 3ul>)",1,2575.916015625,2575.916015625,2575.916015625,0.023488524347054188
"void rocprim::ROCPRIM_400001_NS::detail::block_reduce_kernel<true, false, 16u, rocprim::ROCPRIM_400001_NS::detail::wrapped_reduce_config<rocprim::ROCPRIM_400001_NS::default_config, int>, int, hipcub::HIPCUB_400000_NS::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, int*, int, hipcub::HIPCUB_400000_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400000_NS::Sum, hipcub::HIPCUB_400000_NS::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, int> >(hipcub::HIPCUB_400000_NS::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, unsigned long, int*, int, hipcub::HIPCUB_400000_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400000_NS::Sum, hipcub::HIPCUB_400000_NS::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, int>)",1,2275.25,2275.25,2275.25,0.02074689729652084
"void at::native::vectorized_elementwise_kernel<8, at::native::ceil_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::ceil_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)",1,2208.416015625,2208.416015625,2208.416015625,0.02013747072372866
"void rocprim::ROCPRIM_400001_NS::detail::init_lookback_scan_state_kernel<rocprim::ROCPRIM_400001_NS::detail::lookback_scan_state<unsigned int, false, true> const>(rocprim::ROCPRIM_400001_NS::detail::lookback_scan_state<unsigned int, false, true> const, unsigned int, unsigned int, rocprim::ROCPRIM_400001_NS::detail::lookback_scan_state<unsigned int, false, true> const::value_type*)",1,1927.916015625,1927.916015625,1927.916015625,0.017579727754088358
"void rocprim::ROCPRIM_400001_NS::detail::transform_kernel<true, rocprim::ROCPRIM_400001_NS::detail::wrapped_transform_config<rocprim::ROCPRIM_400001_NS::default_config, unsigned long, true>, unsigned long, unsigned long*, int*, rocprim::ROCPRIM_400001_NS::identity<void> >(unsigned long*, unsigned long, int*, rocprim::ROCPRIM_400001_NS::identity<void>)",1,1857.5,1857.5,1857.5,0.016937638381842635
